data,produto_id,nome_produto,categoria,preco_unitario,estoque_atual,vendas_mes_passado,vendas_2meses,vendas_3meses,vendas_4meses,vendas_5meses,vendas_6meses,previsao_demanda,estacao,ano,mes,dia_semana,feriado,promocao_ativa,concorrente_preco,inflacao_mensal,custo_estoque,tempo_entrega_dias,qualidade_produto,satisfacao_cliente
1,PROD001,Notebook Gamer,Eletrônicos,5999.99,45,12,15,18,14,11,9,15,Verão,2024,12,5,Não,Sim,5799.99,0.87,89.99,7,9.5,4.2
2,PROD002,Smartphone 5G,Eletrônicos,3499.99,78,25,28,22,19,24,21,28,Verão,2024,12,5,Não,Sim,3299.99,0.87,45.99,3,9.2,4.5
3,PROD003,Fone Bluetooth,Eletrônicos,299.99,156,45,42,38,35,40,37,42,Verão,2024,12,5,Não,Não,279.99,0.87,8.99,2,8.8,4.3
4,PROD004,Tablet 10",Eletrônicos,1899.99,34,8,12,10,9,7,6,10,Verão,2024,12,5,Não,Sim,1799.99,0.87,35.99,5,9.0,4.4
5,PROD005,Smartwatch,Eletrônicos,899.99,67,18,20,16,15,17,14,20,Verão,2024,12,5,Não,Sim,849.99,0.87,25.99,4,9.1,4.6
6,PROD006,Cadeira Gamer,Móveis,1299.99,23,5,7,6,4,5,4,7,Verão,2024,12,5,Não,Não,1199.99,0.87,65.99,10,9.3,4.7
7,PROD007,Mesa Escritório,Móveis,899.99,18,3,4,3,2,3,2,4,Verão,2024,12,5,Não,Não,799.99,0.87,45.99,12,9.4,4.5
8,PROD008,Mouse Gamer,Eletrônicos,199.99,234,67,72,65,58,63,60,72,Verão,2024,12,5,Não,Sim,179.99,0.87,5.99,2,8.9,4.2
9,PROD009,Teclado Mecânico,Eletrônicos,399.99,89,22,25,20,18,21,19,25,Verão,2024,12,5,Não,Sim,359.99,0.87,15.99,3,9.0,4.4
10,PROD010,Monitor 27",Eletrônicos,1599.99,45,11,13,12,10,9,8,13,Verão,2024,12,5,Não,Sim,1499.99,0.87,55.99,7,9.2,4.6
11,PROD011,Webcam HD,Eletrônicos,149.99,178,52,48,45,42,47,44,55,Verão,2024,12,5,Não,Não,129.99,0.87,4.99,2,8.7,4.1
12,PROD012,Microfone USB,Eletrônicos,249.99,92,26,28,24,22,25,23,28,Verão,2024,12,5,Não,Sim,229.99,0.87,9.99,3,8.8,4.3
13,PROD013,CPU Intel i7,Eletrônicos,2899.99,12,3,4,3,2,3,2,4,Verão,2024,12,5,Não,Sim,2799.99,0.87,125.99,5,9.5,4.8
14,PROD014,Placa Vídeo RTX,Eletrônicos,4599.99,8,2,3,2,2,2,1,3,Verão,2024,12,5,Não,Sim,4499.99,0.87,189.99,7,9.6,4.9
15,PROD015,Memória RAM 16GB,Eletrônicos,399.99,145,38,42,36,32,35,33,42,Verão,2024,12,5,Não,Sim,379.99,0.87,12.99,2,9.1,4.5
16,PROD016,SSD 1TB,Eletrônicos,599.99,67,18,20,17,15,16,15,20,Verão,2024,12,5,Não,Sim,5799.99,0.87,18.99,3,9.3,4.7
17,PROD017,HD 2TB,Eletrônicos,299.99,89,24,26,23,20,22,21,26,Verão,2024,12,5,Não,Não,2799.99,0.87,15.99,4,9.0,4.4
18,PROD018,Fonte 750W,Eletrônicos,499.99,34,9,11,10,8,7,6,11,Verão,2024,12,5,Não,Sim,4799.99,0.87,22.99,5,9.2,4.6
19,PROD019,Gabinete Gamer,Eletrônicos,399.99,56,15,17,14,12,13,12,17,Verão,2024,12,5,Não,Sim,3799.99,0.87,19.99,6,9.1,4.5
20,PROD020,Cooler CPU,Eletrônicos,89.99,267,78,82,75,68,73,70,82,Verão,2024,12,5,Não,Não,79.99,0.87,3.99,2,8.6,4.0
